CPMS as percent of Median VOT,Percent Diversion
1,100
2,99.8
3,99.5
4,99.3
5,99
6,98.7
7,98.3
8,98
9,97.7
10,97.3
11,97
12,96.7
13,96.3
14,96
15,95.7
16,95.3
17,95
18,94.6
19,94.2
20,93.8
21,93.4
22,93
23,92.6
24,92.1
25,91.7
26,91.3
27,90.9
28,90.4
29,90
30,89.6
31,89.2
32,88.8
33,88.4
34,88
35,87.5
36,87
37,86.5
38,86
39,85.5
40,85
41,84.6
42,84.1
43,83.7
44,83.3
45,82.9
46,82.4
47,82
48,81.4
49,80.8
50,80.2
51,79.6
52,79
53,78.5
54,77.9
55,77.4
56,76.8
57,76.3
58,75.8
59,75.2
60,74.7
61,74.2
62,73.6
63,73.1
64,72.5
65,72
66,71.5
67,71
68,70.5
69,70
70,69.3
71,68.5
72,67.8
73,67
74,66.5
75,66
76,65.5
77,65
78,64.5
79,64
80,63.5
81,63
82,62.3
83,61.6
84,60.9
85,60.3
86,59.6
87,58.9
88,58.2
89,57.5
90,56.8
91,56.2
92,55.5
93,54.8
94,54.1
95,53.4
96,52.7
97,52.1
98,51.4
99,50.7
100,50
101,49.5
102,49
103,48.5
104,48
105,47.5
106,47
107,46.5
108,46
109,45.5
110,45
111,44.5
112,44
113,43.5
114,43
115,42.5
116,42
117,41.5
118,41
119,40.5
120,40
121,39.5
122,39
123,38.5
124,38
125,37.5
126,37
127,36.5
128,36
129,35.5
130,35
131,34.5
132,34
133,33.5
134,33
135,32.5
136,32
137,31.5
138,31
139,30.5
140,30
141,29.5
142,29
143,28.5
144,28
145,27.5
146,27
147,26.5
148,26
149,25.5
150,25
151,24.6
152,24.2
153,23.8
154,23.4
155,23
156,22.6
157,22.2
158,21.8
159,21.4
160,21
161,20.7
162,20.4
163,20.1
164,19.8
165,19.5
166,19.2
167,18.9
168,18.6
169,18.3
170,18
171,17.6
172,17.2
173,16.8
174,16.4
175,16
176,15.6
177,15.2
178,14.8
179,14.4
180,14
181,13.7
182,13.4
183,13.1
184,12.8
185,12.5
186,12.2
187,11.9
188,11.6
189,11.3
190,11
191,10.8
192,10.6
193,10.4
194,10.2
195,10
196,9.8
197,9.6
198,9.4
199,9.2
200,9
201,8.8
202,8.6
203,8.4
204,8.2
205,8
206,7.8
207,7.6
208,7.4
209,7.2
210,7
211,6.8
212,6.6
213,6.4
214,6.2
215,6
216,5.8
217,5.6
218,5.4
219,5.2
220,5
221,4.9
222,4.8
223,4.7
224,4.6
225,4.5
226,4.4
227,4.3
228,4.2
229,4.1
230,4
231,3.9
232,3.8
233,3.7
234,3.6
235,3.5
236,3.4
237,3.3
238,3.2
239,3.1
240,3
241,2.9
242,2.8
243,2.7
244,2.6
245,2.5
246,2.4
247,2.3
248,2.2
249,2.1
250,2
251,2
252,1.9
253,1.9
254,1.8
255,1.8
256,1.8
257,1.7
258,1.7
259,1.6
260,1.6
261,1.6
262,1.5
263,1.5
264,1.4
265,1.4
266,1.4
267,1.3
268,1.3
269,1.2
270,1.2
271,1.2
272,1.1
273,1.1
274,1
275,1
276,1
277,0.9
278,0.9
279,0.8
280,0.8
281,0.8
282,0.7
283,0.7
284,0.6
285,0.6
286,0.6
287,0.5
288,0.5
289,0.4
290,0.4
291,0.4
292,0.3
293,0.3
294,0.2
295,0.2
296,0.2
297,0.1
298,0.1
299,0
300,0
