,Toll_PC_Road,Toll_PC_Bridge,Toll_Truck_Road,Toll_Truck_Bridge
0,0.000 ,0.000 ,0.000 ,0.000 
1,0.015 ,0.500 ,0.045 ,1.500 
2,0.030 ,1.000 ,0.090 ,3.000 
3,0.045 ,1.500 ,0.135 ,4.500 
4,0.060 ,2.000 ,0.180 ,6.000 
5,0.075 ,2.500 ,0.225 ,7.500 
6,0.090 ,3.000 ,0.270 ,9.000 
7,0.105 ,3.500 ,0.315 ,10.500 
8,0.120 ,4.000 ,0.360 ,12.000 
9,0.135 ,4.500 ,0.405 ,13.500 
10,0.150 ,5.000 ,0.450 ,15.000 
11,0.165 ,5.500 ,0.495 ,16.500 
12,0.180 ,6.000 ,0.540 ,18.000 
13,0.195 ,6.500 ,0.585 ,19.500 
14,0.210 ,7.000 ,0.630 ,21.000 
15,0.225 ,7.500 ,0.675 ,22.500 
16,0.240 ,8.000 ,0.720 ,24.000 
17,0.255 ,8.500 ,0.765 ,25.500 
18,0.270 ,9.000 ,0.810 ,27.000 
19,0.285 ,9.500 ,0.855 ,28.500 
20,0.300 ,10.000 ,0.900 ,30.000 
21,0.315 ,10.500 ,0.945 ,31.500 
22,0.330 ,11.000 ,0.990 ,33.000 
23,0.345 ,11.500 ,1.035 ,34.500 
24,0.360 ,12.000 ,1.080 ,36.000 
25,0.375 ,12.500 ,1.125 ,37.500 
26,0.390 ,13.000 ,1.170 ,39.000 
27,0.405 ,13.500 ,1.215 ,40.500 
28,0.420 ,14.000 ,1.260 ,42.000 
29,0.435 ,14.500 ,1.305 ,43.500 
30,0.450 ,15.000 ,1.350 ,45.000 
